Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UXIN,Uxin Limited ADS,$4.08,-0.03,-0.73%,20715591,China,2018,6064,Consumer Discretionary,Business Services
VALN,Valneva SE American Depositary Shares,$6.565,-0.485,-6.879%,2024585,France,2021,11036,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VEON,VEON Ltd. ADS,$42.46,1.40,3.41%,62843297,Netherlands,,70903,Telecommunications,Telecommunications Equipment
VIOT,Viomi Technology Co. Ltd American Depositary Shares,$1.36,-0.05,-3.546%,41307098,China,2018,125994,Consumer Discretionary,Consumer Electronics/Appliances
VNET,VNET Group Inc. American Depositary Shares,$4.74,-0.65,-12.059%,143491290,China,2011,19178708,Technology,Computer Software: Programming Data Processing
VOD,Vodafone Group Plc American Depositary Shares,$9.17,0.06,0.659%,344561836,United Kingdom,,12094872,Telecommunications,Telecommunications Equipment
VRNA,Verona Pharma plc American Depositary Share,$58.30,-0.17,-0.291%,67957135,United Kingdom,2017,600626,Health Care,Biotechnology: Pharmaceutical Preparations
VSA,TCTM Kids IT Education Inc. American Depositary Shares,$0.47,-0.0408,-7.987%,8328883,China,2014,180056,Real Estate,Other Consumer Services
WAVE,Eco Wave Power Global AB (publ) American Depositary Shares,$6.03,0.04,0.668%,3170621,Israel,2021,31940,Utilities,Electric Utilities: Central
WB,Weibo Corporation American Depositary Share,$7.54,-0.17,-2.205%,101559454,China,2014,2194690,Technology,Computer Software: Programming Data Processing
WKEY,WISeKey International Holding Ltd American Depositary Shares,$3.72,-0.21,-5.344%,5102504,Switzerland,,42402,Technology,EDP Services
WRD,WeRide Inc. American Depositary Shares,$8.63,-0.83,-8.774%,6452000,China,2024,1235016,Technology,EDP Services
WYHG,Wing Yip Food Holdings Group Limited American Depositary Shares,$8.00,-1.10,-12.088%,2050000,China,2024,277996,Consumer Staples,Specialty Foods
XCH,XCHG Limited American Depositary Share,$1.24,0.02,1.639%,3462223,Germany,2024,85466,Industrials,Electrical Products
XHG,XChange TEC.INC American Depositary Shares ,$0.13,0.003,2.362%,15073675,China,2019,3446388,Finance,Real Estate
XNET,Xunlei Limited American Depositary Shares,$3.51,-0.12,-3.306%,52732504,China,2014,1146359,Technology,Computer Software: Prepackaged Software
XYLO,Xylo Technologies Ltd. American Depositary Shares,$5.20,0.39,8.108%,720815,Israel,,79639,Health Care,Medical/Dental Instruments
YI,111 Inc. American Depositary Shares,$7.31,-0.29,-3.816%,5058305,China,2018,10502,Consumer Staples,Retail-Drug Stores and Proprietary Stores
YJ,Yunji Inc. American Depository Shares,$1.59,-0.01,-0.625%,4915946,China,2019,1704,Consumer Discretionary,Other Specialty Stores
